Input,admin_only,Rough Item,Rough Chance,Rough Modifier,Coarse Item,Coarse Chance,Coarse Modifier,1:1 Item,1:1 Chance,1:1 Modifier,Fine Item,Fine Chance,Fine Modifier,Very Fine Item,Very Fine Chance,Very Fine Modifier
Crossvec,False,Destroyed,0.5,,FSP-9,1.0,,Crossvec,1.0,,MTF-E11-SR,0.6,,MTF-E11-SR,0.7,
Crossvec,False,9x19mm,0.5,(60 rounds),,,,,,,AK,0.4,,Shotgun,0.3,
FR-MG-0,False,MTF-E11-SR,0.5,,MTF-E11-SR,1.0,,FR-MG-0,1.0,,Logicer,1.0,,Destroyed,0.9,
FR-MG-0,False,5.56x45mm,0.5,(150 rounds),,,,,,,,,,Micro H.I.D.,0.1,
FSP-9,False,Destroyed,0.5,,COM-18,1.0,,FSP-9,1.0,,Crossvec,1.0,,Crossvec,0.7,
FSP-9,False,9x19mm,0.5,(45 rounds),,,,,,,,,,MTF-E11-SR,0.3,
MTF-E11-SR,False,COM-15,0.5,,Crossvec,1.0,,MTF-E11-SR,1.0,,AK,1.0,,AK,0.3,
MTF-E11-SR,False,5.56x45mm,0.5,(80 rounds),,,,,,,,,,Crossvec,0.3,
MTF-E11-SR,False,,,,,,,,,,,,,FR-MG-0,0.25,
MTF-E11-SR,False,,,,,,,,,,,,,Shotgun,0.15,
AK,False,COM-15,0.5,,A7,0.5,,AK,1.0,,MTF-E11-SR,1.0,,Crossvec,0.3,
AK,False,7.62x39mm,0.5,(90 rounds),Crossvec,0.5,,,,,,,,MTF-E11-SR,0.3,
AK,False,,,,,,,,,,,,,Logicer,0.2,
AK,False,,,,,,,,,,,,,Shotgun,0.2,
Logicer,False,AK,0.5,,FR-MG-0,1.0,,Logicer,1.0,,Shotgun,1.0,,Destroyed,0.9,
Logicer,False,7.62x39mm,0.5,(120 rounds),,,,,,,,,,Micro H.I.D.,0.1,
.44 Revolver,False,Destroyed,0.5,,COM-18,0.8,,.44 Revolver,1.0,,Crossvec,1.0,,CI Access Device,0.5,
.44 Revolver,False,.44 Mag,0.5,(12 rounds),High-Explosive Grenade,0.2,,,,,,,,High-Explosive Grenade,0.5,(x2)
Shotgun,False,AK,0.5,,AK,1.0,,Shotgun,1.0,,Logicer,1.0,,AK,0.4,
Shotgun,False,12/70 Buckshot,0.5,(25 rounds),,,,,,,,,,Crossvec,0.4,
Shotgun,False,,,,,,,,,,,,,Logicer,0.2,
High-Explosive Grenade,False,Destroyed,1.0,,Flashbang Grenade,1.0,,Flashbang Grenade,1.0,,High-Explosive Grenade,1.0,,Destroyed,0.5,
High-Explosive Grenade,False,,,,,,,,,,,,,High-Explosive Grenade,0.25,
High-Explosive Grenade,False,,,,,,,,,,,,,SCP-018 (Superball),0.25,
Flashbang Grenade,False,Destroyed,1.0,,Flashlight,1.0,,High-Explosive Grenade,1.0,,High-Explosive Grenade,1.0,,Destroyed,0.75,
Flashbang Grenade,False,,,,,,,,,,,,,SCP-207 (Cola),0.25,
3-X Particle  Disruptor,False,Flashlight,1.0,,MTF-E11-SR,1.0,,Jailbird,1.0,,3-X Particle  Disruptor,1.0,(Refueled),3-X Particle  Disruptor,1.0,(Refueled)
A7,False,COM-15,0.5,,COM-18,1.0,,A7,1.0,,AK,1.0,,,,
A7,False,7.62x39mm,0.5,(90 rounds),,,,,,,,,,.44 Revolver,1.0,(+Flashbang Grenade)
COM-45,False,Destroyed,0.5,,9x19mm,0.5,(15 rounds),COM-45,1.0,,Crossvec,1.0,,.44 Revolver,1.0,
COM-45,False,9x19mm,0.5,(15 rounds),COM-15,0.5,,,,,,,,,,
Jailbird,False,Flashlight,1.0,,Jailbird,1.0,(Damaged),3-X Particle  Disruptor,1.0,,Jailbird,1.0,(Refueled),Micro H.I.D.,1.0,
Micro H.I.D.,False,Destroyed,1.0,,Micro H.I.D.,1.0,(Damaged),3-X Particle  Disruptor,0.5,,Micro H.I.D.,1.0,(Refueled),Micro H.I.D.,1.0,(Refueled)
Micro H.I.D.,False,,,,,,,Jailbird,0.5,,,,,,,
9x19mm,False,5.56x45mm,1.0,(10 rounds),5.56x45mm,1.0,(10 rounds),.44 Mag,,(4 rounds),5.56x45mm,1.0,(10 rounds),5.56x45mm,1.0,(10 rounds)
9x19mm,False,,,,,,,9x19mm,,(1 round),,,,,,
5.56x45mm,False,9x19mm,,(21 rounds),9x19mm,,(21 rounds),7.62x39mm,1.0,(15 rounds),9x19mm,,(21 rounds),9x19mm,,(21 rounds)
5.56x45mm,False,5.56x45mm,,(1 round),5.56x45mm,,(1 round),,,,5.56x45mm,,(1 round),5.56x45mm,,(1 round)
7.62x39mm,False,.44 Mag,,(6 rounds),.44 Mag,,(6 rounds),5.56x45mm,1.0,(15 rounds),12/70 Buckshot,1.0,(9 rounds),12/70 Buckshot,1.0,(9 rounds)
7.62x39mm,False,7.62x39mm,,(1 round),7.62x39mm,,(1 round),,,,,,,,,
12/70 Buckshot,False,7.62x39mm,1.0,(25 rounds),7.62x39mm,1.0,(25 rounds),9x19mm,,(35 rounds),.44 Mag,,(10 rounds),.44 Mag,,(10 rounds)
12/70 Buckshot,False,,,,,,,12/70 Buckshot,,(1 round),12/70 Buckshot,,(1 round),12/70 Buckshot,,(1 round)
.44 Mag,False,12/70 Buckshot,1.0,(21 rounds),12/70 Buckshot,1.0,(21 rounds),9x19mm,,(49 rounds),7.62x39mm,1.0,(35 rounds),7.62x39mm,1.0,(35 rounds)
.44 Mag,False,,,,,,,.44 Mag,,(1 round),,,,,,
9x19mm,False,5.56x45mm,1.0,(20 rounds),5.56x45mm,1.0,(20 rounds),.44 Mag,,(8 rounds),5.56x45mm,1.0,(20 rounds),5.56x45mm,1.0,(20 rounds)
9x19mm,False,,,,,,,9x19mm,,(2 rounds),,,,,,
5.56x45mm,False,9x19mm,1.0,(45 rounds),9x19mm,1.0,(45 rounds),7.62x39mm,1.0,(30 rounds),9x19mm,1.0,(45 rounds),9x19mm,1.0,(45 rounds)
7.62x39mm,False,.44 Mag,,(12 rounds),.44 Mag,,(12 rounds),5.56x45mm,1.0,(30 rounds),12/70 Buckshot,1.0,(18 rounds),12/70 Buckshot,1.0,(18 rounds)
7.62x39mm,False,7.62x39mm,,(2 rounds),7.62x39mm,,(2 rounds),,,,,,,,,
12/70 Buckshot,False,7.62x39mm,1.0,(50 rounds),7.62x39mm,1.0,(50 rounds),9x19mm,1.0,(75 rounds),.44 Mag,,(20 rounds),.44 Mag,,(20 rounds)
12/70 Buckshot,False,,,,,,,,,,12/70 Buckshot,,(2 rounds),12/70 Buckshot,,(2 rounds)
.44 Mag,False,12/70 Buckshot,1.0,(42 rounds),12/70 Buckshot,1.0,(42 rounds),9x19mm,1.0,(105 rounds),7.62x39mm,1.0,(70 rounds),7.62x39mm,1.0,(70 rounds)
Adrenaline,False,Destroyed,0.5,,First Aid Kit,0.5,,Painkillers,1.0,,SCP-500 (The Panacea Pill Bottle),1.0,,Painkillers,0.66,
Adrenaline,False,Painkillers,0.5,,Painkillers,0.5,,,,,,,,SCP-500 (The Panacea Pill Bottle),0.33,
First Aid Kit,False,Destroyed,1.0,,Painkillers,1.0,,First Aid Kit,1.0,,Adrenaline,1.0,,Destroyed,0.33,
First Aid Kit,False,,,,,,,,,,,,,First Aid Kit,0.33,
First Aid Kit,False,,,,,,,,,,,,,SCP-500 (The Panacea Pill Bottle),0.33,
Painkillers,False,Destroyed,1.0,,Destroyed,0.5,,Painkillers,1.0,,First Aid Kit,1.0,,Adrenaline,0.5,
Painkillers,False,,,,Painkillers,0.5,,,,,,,,First Aid Kit,0.5,
SCP-207? (Anti-Cola),False,Painkillers,1.0,,Adrenaline,1.0,,SCP-207 (Cola),1.0,,SCP-1853 (Green Serum),1.0,,Destroyed,1.0,
SCP-018 (Superball),False,Flashbang Grenade,1.0,,Flashbang Grenade,1.0,,SCP-018 (Superball),1.0,,High-Explosive Grenade,1.0,,Coin,1.0,
SCP-127 (Living Gun),False,SCP-127 (Living Gun),1.0,,COM-18,1.0,,FSP-9,1.0,,Crossvec,1.0,,MTF-E11-SR,1.0,
SCP-207 (Cola),False,Painkillers,1.0,,Adrenaline,1.0,,SCP-207? (Anti-Cola),1.0,,SCP-1853 (Green Serum),1.0,,Destroyed,1.0,
SCP-244-A (Vase),False,Destroyed,1.0,,Coin,1.0,,SCP-244-B (Vase),1.0,,SCP-244-A (Vase),1.0,,SCP-244-A (Vase),1.0,
SCP-244-B (Vase),False,Destroyed,1.0,,Coin,1.0,,SCP-244-A (Vase),1.0,,SCP-244-B (Vase),1.0,,SCP-244-B (Vase),1.0,
SCP-268 (Invisibility Cap),False,Destroyed,1.0,,SCP-268 (Invisibility Cap),1.0,,SCP-268 (Invisibility Cap),1.0,,SCP-268 (Invisibility Cap),1.0,,SCP-268 (Invisibility Cap),1.0,
SCP-500 (The Panacea Pill Bottle),False,First Aid Kit,0.5,,Adrenaline,1.0,,SCP-500 (The Panacea Pill Bottle),1.0,,Destroyed,0.5,,Destroyed,1.0,
SCP-500 (The Panacea Pill Bottle),False,Painkillers,0.5,,,,,,,,SCP-500 (The Panacea Pill Bottle),0.5,,,,
SCP-1344 (Goggles),False,Flashbang Grenade,1.0,,Radio,1.0,,Adrenaline,0.5,,SCP-1853 (Green Serum),1.0,,Adrenaline,0.5,(x2)
SCP-1344 (Goggles),False,,,,,,,Flashbang Grenade,0.5,,,,,SCP-2176 (Ghostlight),0.5,
SCP-1509 (Blade of Rebirth),False,Destroyed,1.0,,SCP-1576 (Phonograph),1.0,,SCP-1509 (Blade of Rebirth),1.0,,SCP-1509 (Blade of Rebirth),1.0,,Destroyed,0.9,
SCP-1509 (Blade of Rebirth),False,,,,,,,,,,,,,Jailbird,0.1,
SCP-1576 (Phonograph),False,Radio,1.0,,SCP-2176 (Ghostlight),1.0,,SCP-1576 (Phonograph),1.0,,Destroyed,1.0,,Destroyed,1.0,
SCP-1853 (Green Serum),False,Painkillers,1.0,,Adrenaline,1.0,,SCP-1853 (Green Serum),1.0,,SCP-207 (Cola),1.0,,Destroyed,0.5,
SCP-1853 (Green Serum),False,,,,,,,,,,,,,SCP-500 (The Panacea Pill Bottle),0.5,
SCP-2176 (Ghostlight),False,Destroyed,1.0,,Flashbang Grenade,1.0,,Coin,1.0,(x12),COM-18,1.0,,Flashlight,0.8,
SCP-2176 (Ghostlight),False,,,,,,,,,,,,,MTF-E11-SR,0.2,
Light Armor,False,Destroyed,0.5,,Flashlight,1.0,,Light Armor,1.0,,Combat Armor,1.0,,Combat Armor,0.5,
Light Armor,False,Radio,0.5,,,,,,,,,,,Heavy Armor,0.5,
Combat Armor,False,Light Armor,0.5,,Light Armor,1.0,,Combat Armor,1.0,,Heavy Armor,1.0,,Heavy Armor,1.0,
Combat Armor,False,Flashlight,0.5,,,,,,,,,,,,,
Heavy Armor,False,Light Armor,0.5,,Combat Armor,1.0,,Heavy Armor,1.0,,Coin,1.0,,Coin,1.0,
Heavy Armor,False,Combat Armor,0.5,,,,,,,,,,,,,
Coin,False,Destroyed,1.0,,Coin,1.0,,Coin,1.0,,Coin,1.0,,Coin,1.0,
Flashlight,False,Destroyed,1.0,,Destroyed,0.5,,Flashlight,1.0,,Radio,1.0,,Flashbang Grenade,0.9,
Flashlight,False,,,,Flashlight,0.5,,,,,,,,SCP-2176 (Ghostlight),0.1,
Radio,False,Destroyed,1.0,,Destroyed,1.0,,Radio,1.0,(Recharged),Radio,1.0,(Recharged),Flashlight,0.75,
Radio,False,,,,,,,,,,,,,SCP-1576 (Phonograph),0.25,
Containment Engineer Keycard,True,Scientist Keycard,0.5,,Research Supervisor Keycard,1.0,,Facility Manager Keycard,1.0,,Captain Keycard,0.5,,Destroyed,0.33,
Containment Engineer Keycard,True,Research Supervisor Keycard,0.5,,,,,,,,O5 Keycard,0.5,,O5 Keycard,0.66,
Private Keycard,True,Scientist Keycard,0.5,,Research Supervisor Keycard,1.0,,Containment Engineer Keycard,1.0,,Operative Keycard,1.0,,Operative Keycard,0.5,
Private Keycard,True,Research Supervisor Keycard,0.5,,,,,,,,,,,Captain Keycard,0.5,
Lantern,True,Destroyed,1.0,,Destroyed,0.5,,Flashlight,1.0,,Radio,1.0,,Flashbang Grenade,0.9,
Lantern,True,,,,Lantern,0.5,,,,,,,,SCP-2176 (Ghostlight),0.1,
